,STR_ESID,Name,wikiQLabel,wikiQ,instance
178,10086301,In der Au,In der Au,http://www.wikidata.org/entity/Q1660698,Wikimedia-Begriffsklärungsseite
179,10055761,Schorenweg,Schoren,http://www.wikidata.org/entity/Q874363,Ethnie
180,10206939,Goldbachweg,Goldbach,http://www.wikidata.org/entity/Q201574,Fluss
181,10026500,Efringerstrasse,Efringer,,
182,10087627,Kleinriehenstrasse,Kleinriehen,,
183,10179491,Rössligasse,Rössli,http://www.wikidata.org/entity/Q29787291,Bauwerk
184,10026775,Beim Goldenen Löwen,Beim Goldenen Löwen,,
185,10145771,Untere Weid,Untere Weid,,
186,10087575,Speiserstrasse,Speiser,http://www.wikidata.org/entity/Q1670071,Wikimedia-Begriffsklärungsseite
187,10120315,Sonneggstrasse,Sonnegg,,
188,10026576,Hungerbachweg,Hungerbach,http://www.wikidata.org/entity/Q1637817,Wikimedia-Begriffsklärungsseite
189,10026764,Murtengasse,Murten,http://www.wikidata.org/entity/Q68283,Kleinstadt
190,10025046,Sulzerstrasse,Sulzer,http://www.wikidata.org/entity/Q238829,Wikimedia-Begriffsklärungsseite
191,10087593,Pilatusstrasse,Pilatus,http://www.wikidata.org/entity/Q15265,Berg
192,10088588,Seltisbergerstrasse,Seltisberger,,
193,10087624,Hirzbrunnenschanze,Hirzbrunnen,http://www.wikidata.org/entity/Q664993,Basler Quartiere
194,10179467,Hermann Suter-Strasse,Hermann Suter,http://www.wikidata.org/entity/Q671472,Mensch
195,10088571,Kannenfeldstrasse,Kannenfeld,,
196,10026597,Schlossgasse,Schloss,http://www.wikidata.org/entity/Q679553,Burg
197,10116680,Im Heimgarten,Im Heimgarten,http://www.wikidata.org/entity/Q108068135,Innerortsstraße
198,10190869,Bollweilerstrasse,Bollweiler,,
199,10025915,Hebelstrasse,Hebel,http://www.wikidata.org/entity/Q415712,Wikimedia-Begriffsklärungsseite
200,10055748,Steinbühlweg,Steinbühl,http://www.wikidata.org/entity/Q1116678,Ortsteil
201,10055763,Untere Rheingasse,Untere Rhein,,
202,10026490,St. Johanns-Platz,St. Johanns,,
203,10055768,Büntenweg,Bünten,http://www.wikidata.org/entity/Q111756148,Familienname
204,10026817,Brennerstrasse,Brenner,http://www.wikidata.org/entity/Q111740,Regionalverband
205,10087383,Mohrhaldenstrasse,Mohrhalden,,
206,10179473,Im Davidsboden,Im Davidsboden,,
207,10063850,Zum Bischofstein,Zum Bischofstein,,
208,10063845,Urs Graf-Strasse,Urs Graf,http://www.wikidata.org/entity/Q2501312,Wikimedia-Begriffsklärungsseite
209,10025128,Löwenbergstrasse,Löwenberg,http://www.wikidata.org/entity/Q534452,Wikimedia-Begriffsklärungsseite
210,10025040,Paradieshofstrasse,Paradieshof,,
211,10025348,Blumengasse,Blumen,http://www.wikidata.org/entity/Q320270,Briefmarkenserie
212,10118096,Rodersdorferstrasse,Rodersdorfer,,
213,10089615,Schützenmattstrasse,Schützenmatt,http://www.wikidata.org/entity/Q27324251,Innerortsstraße
214,10181191,Davidsbodenstrasse,Davidsboden,,
215,10088574,Leonhardsstapfelberg,Leonhardsstapfelberg,,
216,10025631,Byfangweg,Byfang,http://www.wikidata.org/entity/Q1368620,Ortsteil
217,10026810,Sternenbergerstrasse,Sternenberger,,
218,10089609,Kanonengasse,Kanonen,http://www.wikidata.org/entity/Q546991,Achterbahn
219,10026265,Bockrainweg,Bockrain,,
220,10187815,Pfirtergasse,Pfirter,http://www.wikidata.org/entity/Q76422698,Familienname
221,10026519,Dolderweg,Dolder,http://www.wikidata.org/entity/Q1235429,Wikimedia-Begriffsklärungsseite
222,10087602,Rufacherstrasse,Rufacher,,
223,10068247,Dufourstrasse,Dufour,http://www.wikidata.org/entity/Q415460,Familienname
224,10181508,Eulerstrasse,Euler,http://www.wikidata.org/entity/Q229199,Wikimedia-Begriffsklärungsseite
225,10175157,Kapellenstrasse,Kapellen,http://www.wikidata.org/entity/Q394094,Wikimedia-Begriffsklärungsseite
226,10026509,Meisengasse,Meisen,http://www.wikidata.org/entity/Q168473,Taxon
227,10165826,Neudorfstrasse,Neudorf,http://www.wikidata.org/entity/Q7149,Dorf
228,10087630,Peter Rot-Strasse,Peter Rot,http://www.wikidata.org/entity/Q17579891,Mensch
229,10086295,Hackbergstrasse,Hackberg,http://www.wikidata.org/entity/Q19284662,Ortsteil
230,10210717,Badweglein,Badweglein,,
231,10121042,Margarethenstrasse,Margarethen,http://www.wikidata.org/entity/Q750222,Munizipium
232,10026773,Angensteinerstrasse,Angensteiner,,
233,10045933,Moosweg,Moos,http://www.wikidata.org/entity/Q62079,Gemeinde in Deutschland
234,10055764,Vogelsangstrasse,Vogelsang,http://www.wikidata.org/entity/Q403687,Wikimedia-Begriffsklärungsseite
235,10064897,Bechburgerstrasse,Bechburger,,
236,10025954,Sevogelstrasse,Sevogel,http://www.wikidata.org/entity/Q99371408,Familie
237,10055733,Stiftsgasse,Stifts,,
238,10181189,Tödistrasse,Tödi,http://www.wikidata.org/entity/Q15134,Berg
239,10026480,Am Krayenrain,Am Krayen,,
240,10089604,Salmenweg,Salmen,http://www.wikidata.org/entity/Q1801324,Wikimedia-Begriffsklärungsseite
241,10155189,Vierjuchartenweg,Vierjucharten,,
242,10010174,Chrischonabodenweg,Chrischonaboden,,
243,10222823,Ottiliaweg,Ottilia,http://www.wikidata.org/entity/Q1423455,weiblicher Vorname
244,10089625,Jacob Burckhardt-Strasse,Jacob Burckhardt,http://www.wikidata.org/entity/Q59945,Mensch
245,10063523,Gotthelfstrasse,Gotthelf,http://www.wikidata.org/entity/Q809903,Basler Quartiere
246,10026792,Schauenburgerstrasse,Schauenburger,http://www.wikidata.org/entity/Q5915398,Familie
247,10222502,Stettenlochweg,Stettenloch,,
248,10025938,Petersgasse,Peters,http://www.wikidata.org/entity/Q294946,Wikimedia-Begriffsklärungsseite
249,10063520,Färberstrasse,Färber,http://www.wikidata.org/entity/Q6147194,Beruf
250,10104852,Im Rankhof,Im Rankhof,,
251,10026278,Haldenweg,Halden,http://www.wikidata.org/entity/Q109042,Kommune in Norwegen
252,10063822,Pfarrgasse,Pfarr,http://www.wikidata.org/entity/Q1283883,Wikimedia-Begriffsklärungsseite
253,10088572,Küchengasse,Küchen,http://www.wikidata.org/entity/Q1683321,Ortsteil
254,10055749,Säntisstrasse,Säntis,http://www.wikidata.org/entity/Q15224,Berg
