,Id Strasse,Strassenname,Erklärung erste Zeile,Erklärung zweite Zeile,Geo Shape,Geo Point,Erstmals erwähnt,Amtlich benannt,Indextext,Kurztext
1067,124,De Wette-Strasse,"Wilhelm Martin Leberecht De Wette (1780–1849),",Theologe an der Universität Basel,"{""coordinates"": [[7.590457265291937, 47.5502736337778], [7.590526427088245, 47.55022800827125], [7.591669250261265, 47.549474095400136], [7.591909982812874, 47.54931527300593], [7.592002981895115, 47.54925392113263]], ""type"": ""LineString""}","47.5497637810145,7.591230125941649",,1898,DEW,De Wette-Str.
1083,558,Speiserstrasse,"Johann Jakob Speiser (1813–1856),",Bankier und Eisenbahndirektor,"{""coordinates"": [[[7.611248304012605, 47.54625152046921], [7.611247110683644, 47.546248086617055], [7.611245930609115, 47.546244643751486], [7.611243677047265, 47.54623785679377], [7.611241516411303, 47.54623105171068], [7.611239435417826, 47.546224228521915], [7.611237447408341, 47.54621740519526], [7.611235539041277, 47.54621056376296], [7.611233723629056, 47.5462037131991], [7.611232001171627, 47.54619685350362], [7.611230358385621, 47.546189984696156], [7.611228808525258, 47.546183097763425], [7.611227338365343, 47.546176210712495], [7.611225961160086, 47.54616931453001], [7.611224663626121, 47.54616240923557], [7.611223459046749, 47.5461554948096], [7.611222347451021, 47.54614858024573], [7.611221315526484, 47.546141656569965], [7.611220376556435, 47.546134723762655], [7.611209940990764, 47.54605415502158], [7.611208415168866, 47.54604237543986]], [[7.61182578083586, 47.54747762915412], [7.611759171710987, 47.547336993709465], [7.611264055260005, 47.54629169928164], [7.61125982537185, 47.546281704477515], [7.611255794648479, 47.546271682396664], [7.611251949748254, 47.5462616150713], [7.611248304012605, 47.54625152046921]]], ""type"": ""MultiLineString""}","47.54676754900616,7.611493376720383",,1913,SPE,Speiserstr.
1088,114,Christoph Merian-Park,"Christoph Merian (1800–1858), Grossgrundbesitzer",und Gründer der gleichnamigen Stiftung,"{""coordinates"": [[7.598337291227721, 47.54713295567745], [7.598336135125632, 47.5471328133621], [7.598335005402441, 47.54713260805422], [7.598333902058141, 47.54713233975379], [7.598332838349434, 47.547131999448894], [7.5983318276137, 47.54713160510876], [7.598330869824033, 47.54713114773969], [7.598329978264031, 47.5471306273234], [7.598329152987479, 47.54713006184742], [7.598328407277953, 47.54712945129353], [7.598327741135468, 47.54712879566174], [7.598327167870487, 47.547128103927534], [7.598326687509912, 47.5471273850847], [7.598326300053731, 47.5471266391332], [7.598326005501952, 47.54712586607307], [7.59832581719193, 47.547125083873446], [7.598325735123669, 47.54712429253447], [7.598325564233864, 47.54711600950941], [7.598325127699466, 47.547107735842296], [7.598324438777286, 47.54709946252111], [7.598323497521226, 47.547091207533306], [7.59832229064784, 47.54708297089716], [7.598320831413915, 47.547074743600675], [7.598319119873353, 47.547066543631246], [7.598317156026286, 47.547058370988964], [7.59831666862035, 47.54705529578877], [7.598316260915858, 47.547052220479266], [7.598315919629221, 47.54704914507874], [7.598315658017093, 47.54704606057521], [7.598315476106368, 47.547042975962455], [7.598315360613462, 47.547039891258635], [7.598315338078585, 47.54703679743366], [7.598315381988404, 47.547033712511315], [7.598315505572663, 47.54703061848601], [7.598315708885151, 47.54702753334518], [7.598315978642277, 47.54702445710705], [7.598316328073818, 47.54702137176593], [7.598316757260431, 47.54701830430297], [7.598317266121419, 47.547015227737106], [7.598317841453906, 47.547012169067585], [7.598318496487635, 47.54700911028885], [7.598320210440229, 47.547004790931105], [7.598322057308724, 47.54700049837245], [7.598324037093097, 47.54699623261283], [7.598326136509765, 47.54699199367052], [7.598328368842252, 47.54698778152723], [7.598330720806985, 47.54698359620121], [7.59833319245774, 47.54697945567991], [7.598335797024228, 47.54697534195757], [7.598341219257521, 47.546967303089716], [7.598346521829716, 47.54695922841063], [7.598351704740863, 47.54695111792025], [7.598356767991001, 47.546942971618584], [7.598361698296648, 47.54693478952389], [7.598366508941384, 47.54692657161796], [7.59837118666862, 47.54691832691279], [7.598375744735043, 47.546910046396356], [7.598380183140705, 47.54690173006882], [7.598384488629025, 47.546893386942045], [7.598388661200067, 47.54688501701605], [7.598392714137399, 47.546876620272606], [7.598396634130655, 47.546868187736266], [7.598400434517211, 47.54685973737631], [7.598404101959799, 47.54685125122344], [7.598407636512295, 47.54684274726514], [7.598410814050402, 47.54683479241622], [7.598413832077842, 47.54682680181089], [7.598416703931996, 47.54681879341846], [7.598419416329429, 47.54681076725707], [7.598421995783399, 47.5468027053029], [7.598424415780781, 47.546794625579864], [7.598426676321638, 47.5467865280879], [7.598428790689543, 47.54677841280887], [7.598430745601071, 47.54677027976096], [7.598432554339774, 47.54676212892597], [7.59843421690573, 47.54675396030394], [7.598435720042418, 47.54674578290675], [7.598437063749922, 47.54673759673445], [7.598438261284884, 47.546729392775134], [7.598439299390788, 47.54672118004068], [7.598440178067729, 47.54671295853118], [7.59844027077072, 47.54670842554481], [7.59844041658068, 47.54670388349186], [7.598440642118382, 47.54669935032325], [7.598440934073412, 47.54669481706351], [7.598441279189192, 47.54669029272462], [7.598441704005749, 47.54668576827642], [7.598442195239577, 47.54668124373705], [7.598442752890669, 47.54667671910658], [7.598443376985919, 47.54667220337871], [7.598444054214932, 47.54666768757792], [7.598444811171541, 47.54666318066154], [7.598445634572256, 47.54665868264771], [7.598446524390144, 47.54665418454282], [7.598447480652111, 47.54664969534051], [7.598448490047763, 47.54664520606528], [7.598449579197835, 47.54664073466816], [7.598450734765015, 47.546636263179884], [7.598451943492746, 47.54663180061244], [7.598453231974853, 47.54662735592309], [7.598454573590563, 47.546622911160846], [7.598455994933691, 47.54661847528294], [7.598457469437311, 47.54661404832584], [7.598459010411784, 47.54660963926506], [7.598460631086708, 47.546605230094904], [7.598462304948995, 47.54660083883926], [7.59846403197172, 47.54659645650444], [7.59846583874869, 47.54659209204771], [7.598467711969508, 47.54658773649352], [7.598469638350721, 47.546583389860075], [7.598471631202684, 47.546579061123026], [7.598473690498456, 47.5465747412885], [7.598475816264951, 47.54657043935022], [7.598479514172833, 47.54656326624247], [7.598483305144557, 47.54655611998819], [7.598487215746959, 47.54654900055088], [7.598491245980002, 47.5465419079306], [7.598495369276766, 47.54653484216375], [7.598499612231019, 47.54652781220757], [7.598503948248926, 47.546520809104834], [7.598508403897329, 47.546513832819], [7.598512965919672, 47.54650689236209], [7.598517621005582, 47.54649997875856], [7.598522395775724, 47.54649310995938], [7.59852727689279, 47.54648626799534], [7.598532251073324, 47.54647945288463], [7.598537331654579, 47.54647268259646], [7.59854251860959, 47.546465948137154], [7.598547811938333, 47.54645924950658], [7.598540580810162, 47.54643542594494], [7.599501963737393, 47.546763561999434], [7.599508028053776, 47.54676589200425], [7.599514052655691, 47.546768267032384], [7.599520037570261, 47.54677069607765], [7.599525982770388, 47.54677317014634], [7.599531874972594, 47.54677568925673], [7.599537727460376, 47.54677825339052], [7.599543540233751, 47.54678086254772], [7.599549300036321, 47.54678352574041], [7.599555020097402, 47.54678622496275], [7.5995606871877, 47.54678897822062], [7.599566314563619, 47.54679177650192], [7.599571875631068, 47.54679461084965], [7.599577397011258, 47.54679749921456], [7.599582878649981, 47.546800423609135], [7.59958829400735, 47.54680339306391], [7.599593656366871, 47.546806407560496], [7.599598979012045, 47.546809467080564], [7.599604235348773, 47.54681256266706], [7.599609451971162, 47.546815703277055], [7.599614602312217, 47.546818888947236], [7.599619699628325, 47.546822110665545], [7.599624743919491, 47.546825368432046], [7.599629721929321, 47.54682867125868], [7.599634646941327, 47.546832019127244], [7.599639518901272, 47.54683539405021], [7.599644324579885, 47.546838814033414], [7.599649077260671, 47.54684227905854], [7.599653763605882, 47.546845771156434], [7.599658383642637, 47.546849299320876], [7.599662950681563, 47.546852872527275], [7.599667464695541, 47.54685648178179], [7.599671899090414, 47.54686011812754], [7.599795638144627, 47.54695780818532], [7.599794848841189, 47.54696036350735], [7.599633866840807, 47.54705350972385], [7.599198294181327, 47.547317637285396], [7.598337212010369, 47.547133117673866]], ""type"": ""LineString""}","47.546910970216594,7.598986876590583",,1959,MER,Christoph Merian-Park
1096,158,Elisabethenschanze,"Elisabethenkirche, erbaut 1857–1864","Schanze, Erdwall der 1859–1878 abgetragenen Stadtbefestigung","{""coordinates"": [[7.589166260055483, 47.55004783844837], [7.589087246618624, 47.549958920287025], [7.589079461921283, 47.549958894361595], [7.589071676995995, 47.54995878749211], [7.589063891792143, 47.54995858169121], [7.589056119644708, 47.54995829492905], [7.589048360528401, 47.54995791821206], [7.5890406011843, 47.54995746055104], [7.589032854846081, 47.5499569039414], [7.589025121564434, 47.54995626637058], [7.589017414598358, 47.549955538827696], [7.589009720663615, 47.54995472132996], [7.589002053044521, 47.54995381386022], [7.588994398482145, 47.54995282542932], [7.588986783519779, 47.549951747009246], [7.588979194898497, 47.5499505876109], [7.588971619308723, 47.54994933825769], [7.588964096628674, 47.54994800789192], [7.588956586980203, 47.549946587571306], [7.58894913021622, 47.549945077244445], [7.588941713103072, 47.549943494915944], [7.588934322280594, 47.54994181362168], [7.5889269843933, 47.54994006030871], [7.58891968610633, 47.54993821700656], [7.58891244075461, 47.54993630168571], [7.588905235003272, 47.54993429637579], [7.588898082161928, 47.54993221005341], [7.588890982230615, 47.54993004271851], [7.58888394849364, 47.54992779435408], [7.588876954382463, 47.54992546499434], [7.58887002649096, 47.54992306359876], [7.588863164768578, 47.54992057217989], [7.588856356006924, 47.54991801773605], [7.58884961341443, 47.54991537326902], [7.588842950325987, 47.54991265674903], [7.588836340173042, 47.549909868210364], [7.588829796239891, 47.549907007636], [7.588823345069825, 47.54990406599787], [7.588816946835314, 47.54990105234113], [7.588810628104922, 47.54989796663153], [7.588804402188228, 47.54989481784571], [7.588798242466115, 47.54989158803045], [7.588792162273442, 47.5498882951561], [7.588786161584925, 47.549884930229], [7.588780253710146, 47.549881502225645], [7.58877442533954, 47.549878002169535], [7.588768689782666, 47.549874439037296], [7.58876304703954, 47.54987081282891], [7.588757483825876, 47.549867123561505], [7.588752013400674, 47.549863362224244], [7.588746649098765, 47.5498595467875], [7.58874137763587, 47.54985567726842], [7.588736185677163, 47.54985173569663], [7.588731113125998, 47.54984774000829], [7.588726133413832, 47.54984369023762], [7.588721246540658, 47.549839586384635], [7.588716465790729, 47.54983542843222], [7.588711791138776, 47.54983120738668], [7.588707222635313, 47.54982694123556], [7.58870276025507, 47.54982262098497], [7.588698404023291, 47.54981825562879], [7.588694153914701, 47.54981383617327], [7.588690023238802, 47.549809371594996], [7.588685998686064, 47.54980485291742], [7.588682080306999, 47.549800298127934], [7.588678281360564, 47.54979569821581], [7.58855304811294, 47.54965293060363], [7.588541927649704, 47.54965711801118], [7.588530887192872, 47.54966141323983], [7.588519926717158, 47.54966580729587], [7.588509072816192, 47.54967030913885], [7.58849829887104, 47.5496749008156], [7.588487618216347, 47.549679600296486], [7.588477044085833, 47.54968438957694], [7.588466563245706, 47.5496892866616], [7.588456175645484, 47.54969427356295], [7.588445894594583, 47.54969935925776], [7.588435720067758, 47.549704534752244], [7.588425652090208, 47.54970980904019], [7.588415677352461, 47.54971517314502], [7.588405822422957, 47.549720627032585], [7.588396087326903, 47.549726179696606], [7.588386458729622, 47.54973181316675], [7.588376936681518, 47.54973754543053], [7.588367534416395, 47.54974335848336], [7.588358251959468, 47.549749261319114], [7.588349089285509, 47.54975524494404], [7.588340059678773, 47.549761309341086], [7.588331136595964, 47.54976746353813], [7.588322346580374, 47.54977369850741], [7.588313689632012, 47.54978001424892], [7.588305152466629, 47.549786410779724], [7.588296748368491, 47.54979288808278], [7.5882884773124, 47.54979943716446], [7.588280326039321, 47.5498060670355], [7.588272321092576, 47.54981276866816], [7.588264462472196, 47.54981954206241], [7.588256723634871, 47.5498263962461], [7.58824913109875, 47.5498333131978], [7.588241684889059, 47.549840301911146], [7.588234371696374, 47.54984735340954], [7.588227204855363, 47.54985448566343], [7.588220184290489, 47.54986167169162], [7.588213310052165, 47.54986892948163], [7.588206568805785, 47.54987624106307], [7.588199987170293, 47.54988362438929], [7.588193565095372, 47.54989106147295], [7.588187276037686, 47.54989856134175], [7.588181159824942, 47.549906114950986], [7.588175176604335, 47.54991372235175], [7.588169352969661, 47.54992139250375], [7.588163688870607, 47.54992910741949], [7.588158184357589, 47.54993688508646], [7.588152839355129, 47.549944698523575], [7.588147640654515, 47.54995257472902], [7.588142601464577, 47.54996048670458], [7.588137735120002, 47.54996845242072], [7.588133028311396, 47.549976462900744], [7.588128481013647, 47.54998450915102], [7.588124093251991, 47.54999260016518], [7.588119865026479, 47.55000073594333], [7.588115809596325, 47.5500089074747], [7.588111913677285, 47.55001711477635], [7.588108190553738, 47.55002535783124], [7.588104626916277, 47.55003362766267], [7.588101236099624, 47.55004194224117], [7.588098018028347, 47.55005027458551], [7.588094959468534, 47.55005864270017], [7.588092073679421, 47.55006703757446], [7.588089360661085, 47.55007545920831], [7.588086820413595, 47.55008390760187], [7.587970878170453, 47.550455911992636], [7.587967930518959, 47.55046595279878], [7.587964810118563, 47.55047597583867], [7.58796150363446, 47.550485963141824], [7.587958024401268, 47.5504959326787], [7.587954372368612, 47.55050586646177], [7.587950520967529, 47.5505157645251], [7.587946510076368, 47.55052563581135], [7.587942313126169, 47.55053548035446], [7.587937943351004, 47.550545280150054], [7.587933387491467, 47.55055504420879], [7.587928658831932, 47.55056477251371], [7.587923770631609, 47.55057445605392], [7.58791869634667, 47.550584103857226], [7.587913449236329, 47.550593706912885], [7.587908029300522, 47.550603265220865], [7.587902436539154, 47.55061277878107], [7.587874100417619, 47.55066498783116], [7.58799426379238, 47.55069525077493], [7.588115767023859, 47.55072479237514], [7.588188147365305, 47.55059414619744], [7.588208343172965, 47.55058111531293], [7.588268842321317, 47.5505958953351], [7.588301853570827, 47.55053399391025], [7.588294201166105, 47.550481642102596], [7.588306255766736, 47.55042199803376], [7.588624674897084, 47.5502767442618], [7.588758467332815, 47.550212356588474], [7.589166260055483, 47.55004783844837]], ""type"": ""LineString""}","47.55018179048845,7.5884419189856285",,1959,ELI,Elisabethenschanze
1099,267,Holbeinstrasse,"Hans Holbein d. J. (1497–1543),","Maler und Zeichner, 1520 eingebürgert","{""coordinates"": [[[7.583160344294839, 47.55135348152974], [7.583070228890633, 47.551302355822294], [7.582695074029193, 47.5510921144416], [7.581645334633226, 47.550783716076566], [7.581635178149064, 47.55078106638455], [7.581625074563251, 47.550778326689255], [7.581615023923955, 47.550775514978085], [7.581605026183087, 47.55077261326371], [7.581595068080247, 47.55076963055609], [7.581585176184476, 47.55076656682268], [7.581575337235369, 47.55076343107345], [7.581565551184838, 47.550760205321005], [7.581555818081032, 47.55075690755287], [7.581546151184431, 47.550753528758946], [7.581536537210568, 47.55075006895563], [7.581526989468018, 47.55074653712028], [7.581517507908706, 47.55074291526549], [7.581508092604823, 47.55073923037251], [7.581498743508279, 47.55073546445381], [7.581489460619116, 47.55073161750954], [7.581480243961399, 47.55072769853328], [7.581471106819641, 47.55072370750888], [7.58146203588533, 47.55071963545889], [7.581453031206574, 47.55071550037075], [7.581444106019799, 47.55071128424076], [7.581435260349057, 47.55070699606268], [7.581426480909899, 47.550702635852765], [7.581417794295312, 47.55069821257224], [7.581409173888311, 47.550693708266195], [7.581400633021437, 47.55068914090592], [7.581392184955152, 47.550684501481285], [7.581383816429018, 47.550679799002374], [7.581375527419028, 47.550675024475495], [7.581367331209655, 47.55067017788438], [7.581359214540458, 47.55066526823904], [7.581351190695931, 47.55066029552325], [7.581294626043081, 47.55062079224507], [7.581218896106499, 47.55056791168918]], [[7.583894245267164, 47.55199417440923], [7.583369946659608, 47.55149442335492], [7.583233562362861, 47.551395022802076], [7.583209653042185, 47.551381453906735], [7.583160344294839, 47.55135348152974]], [[7.584244284141436, 47.55540983097014], [7.5842513758917, 47.55531131370748], [7.584261758898277, 47.55516762577811], [7.584337861263584, 47.55411135986627], [7.584387697909734, 47.553961569756545], [7.584411609284167, 47.5538925848382]], [[7.584411609284167, 47.5538925848382], [7.584430893892622, 47.553836952413334], [7.584695368705519, 47.55306097391479], [7.584660108549292, 47.55298267357757]], [[7.584412472546157, 47.55250487599503], [7.584340314366893, 47.552419327754], [7.58432834010857, 47.55240792965561], [7.583894245267164, 47.55199417440923]], [[7.584660108549292, 47.55298267357757], [7.584520271758951, 47.552672087774035], [7.584473981761762, 47.55257779230458], [7.584412472546157, 47.55250487599503]]], ""type"": ""MultiLineString""}","47.552507901388395,7.583584657269482",1811,1875,HOL,Holbeinstr.
1116,1958,Emilie Louise Frey-Strasse,"Emilie Louise Frey (1869–1937), 1890 erste Studentin der Universität Basel,","1896 Doktorin der Medizin, seit 2008 nach ihr benannter Förderpreis für Wissenschaftlerinnen","{""coordinates"": [[[7.609640034727169, 47.538860715108136], [7.611511591573397, 47.53836364300061]], [[7.609567154299786, 47.538880068853196], [7.609640034727169, 47.538860715108136]]], ""type"": ""MultiLineString""}","47.5386218571744,7.610539373267895",,2022,FRE,Emilie Louise Frey-Str.
1117,230,Hauserweglein,"Fritz Hauser (1884–1941), Grossrat,",Nationalrat und Regierungsrat,"{""coordinates"": [[7.595249226766849, 47.53017632915319], [7.595380965994558, 47.5301789310193], [7.596202092243946, 47.53019519007349], [7.59622523957765, 47.530195644420814]], ""type"": ""LineString""}","47.53018598584141,7.595737233191068",,1970,HAU,Hauserweglein
1121,1926,Keltentreppe,Keltische Siedlung (150–80 v.Chr.),auf dem ehemaligen Gelände der Gasfabrik,"{""coordinates"": [[7.58306880537407, 47.57101312547028], [7.583496633791984, 47.571036131290114]], ""type"": ""LineString""}","47.5710246283802,7.583282719583027",,2016,KEL,Keltentreppe
1270,248,Herbergsgasse,"Elenden- und Armenherberge, 1441–1853",,"{""coordinates"": [[7.586193502411436, 47.55996674248035], [7.586116440923355, 47.56000604363238], [7.585183348134612, 47.560481836991805], [7.585103206846956, 47.56052269724547]], ""type"": ""LineString""}","47.56024472403191,7.585648356755073",1798,1861,HER,Herbergsgasse
1275,472,Redingstrasse,"Benennung vermutlich nach Aloys Reding (1765–1818),",Politiker und Schweizer Staatsmann,"{""coordinates"": [[[7.621098371145229, 47.54738880846626], [7.622143773602165, 47.54738910774553], [7.62232053061914, 47.547386400631765]], [[7.618583170751712, 47.54738593340023], [7.618806743414706, 47.547388258743084], [7.619096125957004, 47.54739128210033], [7.619281681807745, 47.54739001398247], [7.619320935054784, 47.54738998004396]], [[7.619320935054784, 47.54738998004396], [7.620929003643253, 47.547388750048285], [7.621098371145229, 47.54738880846626]]], ""type"": ""MultiLineString""}","47.54738911446984,7.62045184703996",,1876,RED,Redingstr.
