;qid;instanceLabel;dateBirth;pic;sex;instance;STR_ESID;STN_LABEL;STN_LABEL_FINAL
43;Q8958;Q5;1400-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gutenberg.jpg;male;Person;10073486;Gutenbergstrasse;Gutenberg
44;Q8958;Q5;1400-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gutenberg.jpg;male;Person;10042395;Gutenbergstrasse;Gutenberg
45;Q8958;Q5;1400-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gutenberg.jpg;male;Person;10091135;Gutenbergstrasse;Gutenberg
46;Q8958;Q5;1400-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gutenberg.jpg;male;Person;10109909;Gutenbergstrasse;Gutenberg
47;Q8958;Q5;1400-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gutenberg.jpg;male;Person;10108457;Gutenbergstrasse;Gutenberg
48;Q8958;Q5;1400-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gutenberg.jpg;male;Person;10059095;Gutenbergstrasse;Gutenberg
49;Q8958;Q5;1400-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gutenberg.jpg;male;Person;10008073;Gutenbergstrasse;Gutenberg
50;Q8958;Q5;1400-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gutenberg.jpg;male;Person;10073129;Gutenbergstrasse;Gutenberg
51;Q12134;Q12507;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20within%20celestial%20sphere.gif;;Andere;10022222;Kugelgasse;Kugel
52;Q12134;Q12507;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20within%20celestial%20sphere.gif;;Andere;10033525;Kugelgasse;Kugel
53;Q12134;Q12507;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20within%20celestial%20sphere.gif;;Andere;10070926;Kugelgasse;Kugel
