;name;name:etymology:wikidata;Unnamed: 0;STR_ESID;STN_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_OFFICIAL;STR_EASTING;STR_NORTHING;STN_LABEL_NO_BI;STN_LABEL_NO_TERMS;STR_TERMS;STR_PREPS;STN_LABEL_FINAL
56;Kugelgasse;Q12134;213416;10084757;Kugelgasse;181;Wila;ZH;True;2706306.0;1252837.0;Kugelgasse;Kugel;gasse;;Kugel
57;Vadianstrasse;Q116098;149537;10176222;Vadianstrasse;3203;St. Gallen;SG;True;2745788.0;1254124.0;Vadianstrasse;Vadian;strasse;;Vadian
58;Heinrich-Bosshard-Strasse;Q1596796;218206;10128114;Heinrich-Bosshard-Strasse;230;Winterthur;ZH;True;2699324.0;1260125.0;Heinrich-Bosshard-Strasse;Heinrich Bosshard;strasse;;Heinrich Bosshard
59;Max-Högger-Strasse;Q27322993;192650;10118216;Max-Högger-Strasse;261;Zürich;ZH;True;2679290.0;1249673.0;Max-Högger-Strasse;Max Högger;strasse;;Max Högger
60;Merkurstrasse;Q1150;71891;10049304;Merkurstrasse;939;Steffisburg;BE;True;2614045.0;1179256.0;Merkurstrasse;Merkur;strasse;;Merkur
61;Merkurstrasse;Q1150;85433;10125349;Merkurstrasse;2;Affoltern am Albis;ZH;True;2676451.0;1236788.0;Merkurstrasse;Merkur;strasse;;Merkur
62;Merkurstrasse;Q1150;96602;10015935;Merkurstrasse;1031;Hochdorf;LU;True;2664517.0;1224509.0;Merkurstrasse;Merkur;strasse;;Merkur
63;Merkurstrasse;Q1150;100374;10016745;Merkurstrasse;1103;Sursee;LU;True;2650398.0;1224109.0;Merkurstrasse;Merkur;strasse;;Merkur
64;Merkurstrasse;Q1150;104731;10015824;Merkurstrasse;1024;Emmen;LU;True;2663670.0;1213996.0;Merkurstrasse;Merkur;strasse;;Merkur
65;Merkurstrasse;Q1150;106625;10119089;Merkurstrasse;4201;Lenzburg;AG;True;2655955.0;1249221.0;Merkurstrasse;Merkur;strasse;;Merkur
66;Merkurstrasse;Q1150;118868;10017820;Merkurstrasse;2769;Münchenstein;BL;True;2612547.0;1263270.0;Merkurstrasse;Merkur;strasse;;Merkur
67;Merkurstrasse;Q1150;119556;10154588;Merkurstrasse;2773;Reinach (BL);BL;True;2612178.0;1262277.0;Merkurstrasse;Merkur;strasse;;Merkur
68;Merkurstrasse;Q1150;120202;10096494;Merkurstrasse;2822;Augst;BL;True;2621453.0;1264666.0;Merkurstrasse;Merkur;strasse;;Merkur
69;Merkurstrasse;Q1150;121941;10056209;Merkurstrasse;2762;Allschwil;BL;True;2609096.0;1267105.0;Merkurstrasse;Merkur;strasse;;Merkur
70;Merkurstrasse;Q1150;130845;10066189;Merkurstrasse;1342;Galgenen;SZ;True;2709263.0;1225766.0;Merkurstrasse;Merkur;strasse;;Merkur
71;Merkurstrasse;Q1150;138468;10030616;Merkurstrasse;3443;Gossau (SG);SG;True;2736757.0;1253146.0;Merkurstrasse;Merkur;strasse;;Merkur
72;Merkurstrasse;Q1150;141389;10089091;Merkurstrasse;3203;St. Gallen;SG;True;2745853.0;1254324.0;Merkurstrasse;Merkur;strasse;;Merkur
73;Merkurstrasse;Q1150;157015;10112026;Merkurstrasse;3340;Rapperswil-Jona;SG;True;2704613.0;1231522.0;Merkurstrasse;Merkur;strasse;;Merkur
74;Merkurstrasse;Q1150;170159;10000061;Merkurstrasse;293;Wädenswil;ZH;True;2693610.0;1231595.0;Merkurstrasse;Merkur;strasse;;Merkur
75;Merkurstrasse;Q1150;191247;10064810;Merkurstrasse;230;Winterthur;ZH;True;2696999.0;1262010.0;Merkurstrasse;Merkur;strasse;;Merkur
76;Merkurstrasse;Q1150;191735;10059008;Merkurstrasse;243;Dietikon;ZH;True;2672780.0;1251025.0;Merkurstrasse;Merkur;strasse;;Merkur
77;Merkurstrasse;Q1150;209496;10086016;Merkurstrasse;261;Zürich;ZH;True;2684241.0;1246832.0;Merkurstrasse;Merkur;strasse;;Merkur
78;Ebelstrasse;Q89013;215912;10004299;Ebelstrasse;261;Zürich;ZH;True;2685176.0;1247538.0;Ebelstrasse;Ebel;strasse;;Ebel
79;General-Guisan-Quai;Q123497;100877;10210037;General-Guisan-Quai;1061;Luzern;LU;True;2668078.0;1211621.0;General-Guisan-Quai;General Guisan;quai;;General Guisan
80;General-Guisan-Quai;Q123497;210924;10085868;General-Guisan-Quai;261;Zürich;ZH;True;2682938.0;1246517.0;General-Guisan-Quai;General Guisan;quai;;General Guisan
81;Uraniastrasse;Q104002;211279;10118012;Uraniastrasse;261;Zürich;ZH;True;2682875.0;1247564.0;Uraniastrasse;Urania;strasse;;Urania
