;Name;wikiQLabel;wikiQ;instance
0;Allée des Tilleuls;Allee Tilleuls;;
0;Allée Paul-Cantonneau;Allee Paul Cantonneau;;
0;Route de la Maison Neuve;Maison Neuve;http://www.wikidata.org/entity/Q27994096;Wikimedia-Begriffsklärungsseite
0;Route des Vieux-Chênes;Vieux Chenes;;
0;Champ Pourou;Champ Pourou;;
0;Chemin du Rio Botsa;Rio Botsa;;
0;Chemin du Pont-Neuf;Pont Neuf;http://www.wikidata.org/entity/Q335277;Bogenbrücke
0;Chemin du Bois-des-Rittes;Bois Rittes;;
0;Chemin de la Fraîche Fontaine;Fraiche Fontaine;;
0;Pra Novi;Pra Novi;;
0;Champs Dessous;Champs Dessous;;
0;Route des Petits Monts;Petits Monts;;
0;Chemin Derrière la Forge;Derriere Forge;;
0;Impasse de la Planche-aux-Veaux;Planche Veaux;;
0;Pré de la Maison;Pre Maison;;
0;Pfisters Reben;Pfisters Reben;;
0;Route de Torny-le-Grand;Torny Grand;;
0;Impasse du Nouveau-Marché;Nouveau Marche;;
0;Pré-du-Poyet;Pre Poyet;;
0;Haut de Scherwyl;Haut Scherwyl;;
0;Route du Champ-Vuarin;Champ Vuarin;;
0;Bois-de-Ban;Bois Ban;;
0;Rue des Frères-Lumière;Freres Lumiere;;
0;Chemin du Bas du Riau;Bas Riau;;
0;Obera Weier;Obera Weier;;
0;Rue du Vieux-Pont;Vieux Pont;;
0;Route Henri-Pestalozzi;Henri Pestalozzi;;
0;Rue Louis-Bornet;Louis Bornet;http://www.wikidata.org/entity/Q58796679;Mensch
0;Pré-Rabouilly;Pre Rabouilly;;
0;Fin-de-Villard;Fin Villard;;
0;Place Jean-François-Reyff;Jean Francois Reyff;;
0;Chemin de Roche-Murist;Roche Murist;;
0;Rue Saint-Pierre-Canisius;Pierre Canisius;;
0;Parc des Fayes;Parc Fayes;;
0;Rue Marie-Favre;Marie Favre;http://www.wikidata.org/entity/Q27861752;Mensch
0;Ruelle du Lion d'Or;Lion Or;;
0;Les Esserts d'Avau;Esserts Avau;;
0;La Fin-d'Amont;Fin Amont;;
0;Fin-des-Fourches;Fin Fourches;;
0;Chemin de Pra Tillon;Pra Tillon;;
0;Chemin-Fleuri;Chemin Fleuri;;
0;Rives du Lac;Rives Lac;;
0;Route de Champ-du-Mont;Champ Mont;;
0;Route Henri-Stephan;Henri Stephan;;
0;Rue Louis-Chollet;Louis Chollet;http://www.wikidata.org/entity/Q1769232;Mensch
0;Praz d'Amont;Praz Amont;;
0;Pra Maccoud;Pra Maccoud;;
0;Chenevières d'Avau;Chenevieres Avau;;
0;La Pata à Bise;Pata Bise;;
0;Route du Pra-Mory;Pra Mory;;
0;Alle Lüfte;Alle Lüfte;;
0;Rue du Vanil-Noir;Vanil Noir;http://www.wikidata.org/entity/Q15225;Berg
0;Petits Rieds;Petits Rieds;;
0;Champ-Collaud;Champ Collaud;;
0;Chemin Clos-du-Vernay;Clos Vernay;;
0;Chemin du Bourg Neuf;Bourg Neuf;;
