DIC_UID;DIC_Berufe;DIC_Lebewesen;DIC_Ortschaft;DIC_Gewässer;DIC_Berge
94;Baugeräteführer, Baugeräteführerin;Bockshornklee;Watt;Lej da Silvaplauna;Zeblasjoch
95;Baustoffprüfer, Baustoffprüferin;Bohne;Adlikon b. Regensdorf;Pfäffikersee;Zwischbergen
96;Bautechniker, Bautechnikerin;Bohnenkraut;Rümlang;Lauerzer See;Ächerli
97;Bauten- und Objektbeschichter, Bauten- und Objektbeschichterin;Bokharaklee;Schleinikon;Grimselsee;Agites
98;Bauwerksabdichter, Bauwerksabdichterin;Borstgras;Schöfflisdorf;Lac de Mauvoisin;Aiguillon
99;Bauwerksmechaniker, Bauwerksmechanikerin (für Abbruch und Betontrenntechnik);Boldo;Stadel b. Niederglatt;Lungerersee;Albis
100;Bauzeichner, Bauzeichnerin;Bonsai;Windlach;Lago di Poschiavo;Albula
101;Beamte, Beamter, Beamtin;Borretsch;Steinmaur;Lac de Salanfe;Balmberg
102;Beauftragte, Beauftragter;Braunelle;Sünikon;Lai da Sontga Maria;Benkerjoch
103;Bedienung;Braunwurz;Weiach;Stausee Mattmark;Bernina
104;Behälter- und Apparatebauer, Behälter- und Apparatebauerin;Brechnuss;Bäretswil;Lago di Vogorno;Böhler
105;Bekleidungstechnische Assistentin, Bekleidungstechnischer Assistent;Brechwurzel;Adetswil;Oberaarsee;Bözberg
106;Bereichsleiter;Brennnessel;Bubikon;Zervreilasee;Breitehöchi
107;Bergbautechnologe, Bergbautechnologin;Brombeere;Wolfhausen;Lac de l'Hongrin;Brünig
108;Bergführer, Bergführerin;Bruchkraut;Tann;Lago Bianco;Buechenegg
109;Bergmann;Brunnenkresse;Dürnten;Lago Ritom;Bürersteig
110;Berg- und Maschinenmann (Fachrichtungen: Transport und Instandhaltung, Vortrieb und Gewinnung);Bubenstrauch;Steg im Tösstal;Lago di Luzzone;Chall
111;Bergbautechnologe, Bergbautechnologin (Fachrichtungen: Tiefbautechnik, Tiefbohrtechnik);Buche;Fischenthal;Lai da Marmorera;Challhöchi
112;Bergvermessungstechniker, Bergvermessungstechnikerin;Buchsbaum;Gibswil;Limmerensee;Champex
113;Berufsflugzeugführer, Berufsflugzeugführerin;Buchweizen;Bertschikon (Gossau ZH);Lac de Moiry;Chasseral
114;Berufshubschrauberführer, Berufshubschrauberführerin;Cajeputstrauch;Grüt (Gossau ZH);Göscheneralpsee;Chatzenstrick
115;Berufskraftfahrer, Berufskraftfahrerin;Calabarstrauch;Gossau ZH;Lägh da l'Albigna;Chilchzimmersattel
116;Beschäftigungs- und Arbeitstherapeut, Beschäftigungs- und Arbeitstherapeutin;Calla;Ottikon (Gossau ZH);Oeschinensee;Croix de Coeur
117;Bestattungsfachkraft;Campecheholz;Grüningen;Klingnauer Stausee;Eichhöhe
118;Betonbauer;Chicorée;Hinwil;Lago del Sambuco;Étroits
119;Betonfacharbeiter;Chinabaum;Wernetshausen;Barrage du Rhone;Etzelpass
120;Beton- und Stahlbetonbauer, Beton- und Stahlbetonbauerin;Chinarinde;Rüti ZH;Lai da Nalps;Flüela
121;Betonfertigteilbauer, Betonfertigteilbauerin;Christrose;Aathal-Seegräben;Lac de Tseuzier;Forclaz
122;Betonstein- und Terrazzohersteller, Betonstein- und Terrazzoherstellerin;Christusdorn;Wald ZH;Sufnersee;Furka
123;Bibliothekar (Diplom-B.), Bibliothekarin (Diplom-B.);Chrysantheme;Laupen ZH;Lai da Curnera;Ghöch
124;Bierbrauer;Chrysarobin;Wetzikon ZH;Lej da S. Murezzan;Givrine
125;Bierkutscher;Cimicifuga;Wetzikon ZH;Lago del Naret;Glas
126;Bildhauer, Bildhauerin;Citronellgras;Adliswil;Flachsee;Glaubenberg
127;Binnenschiffer, Binnenschifferin;Clematis;Kilchberg ZH;Lac des Brenets;Glaubenbielen
128;Biologe, Biologin;Comfrey;Langnau am Albis;Häftli;Gottschalkenberg
129;Biologielaborant, Biologielaborantin;Cormobionta;Oberrieden;Gigerwaldsee;Grimsel
130;Biologiemodellmacher, Biologiemodellmacherin;Dahlie;Richterswil;Lac de Moron;Grosse Scheidegg
131;Biologisch-technische Assistentin, Biologisch-technischer Assistent;Dickblatt;Samstagern;Lac de Montsalvens;Grosser St. Bernhard
132;Biotechnologische Assistentin, Biotechnologischer Assistent;Dill;Rüschlikon;Räterichsbodensee;Gurnigel
133;Bischof, Bischöfin;Dingel;Gattikon;Lac Brenet;Haggenegg
134;Blechner;Dinkel;Thalwil;Daubensee;Hahnenmoos
135;Blockwart;Diptam;Erlenbach ZH;Griessee;Heitersberg
