DIC_UID;DIC_Berufe;DIC_Lebewesen;DIC_Ortschaft;DIC_Gewässer;DIC_Berge
;Coursier;;;;
;Coursier à moto;;;;
;Coursier à vélo;;;;
;Coursier motorisé, auto;;;;
;Coursier motorisé, camionnette;;;;
;Courtepointier;;;;
;Courtier (en action);;;;
;Courtier de banque;;;;
;Courtier de change;;;;
;Courtier en assurances;;;;
;Courtier en bâtiments;;;;
;Courtier en biens immobiliers;;;;
;Courtier en devises;;;;
;Courtier en immeubles;;;;
;Courtier en investissements;;;;
;Courtier en prêts sur gages;;;;
;Courtier en publicité;;;;
;Couseur;;;;
;Couseur à la machine;;;;
;Couseur de l'industrie textile;;;;
;Couseur-retoucheur;;;;
;Coutelier;;;;
;Couturier;;;;
;Couturier d'industrie;;;;
;Couturier d'intérieur;;;;
;Couturier en fourrures;;;;
;Couturier-retoucheur;;;;
;Couvreur;;;;
;Couvreur, maître;;;;
;Couvreur-ferblantier;;;;
;Cranio-Sacral-Therapeut;;;;
;Créateur de bijoux et d'objets;;;;
;Créateur de costumes;;;;
;Créateur de jardins;;;;
;Créateur de textiles intérieurs;;;;
;Créateur de théâtre;;;;
;Créateur de tissu;;;;
;Créateur de vêtements;;;;
;Créateur d'objets d'art (bijouterie);;;;
;Créateur en tissage;;;;
;Créateur sur céramique;;;;
;Créateur visuel;;;;
;Créateur, réalisateur, designer;;;;
;Créateur-modéliste de mode;;;;
;Creative Director;;;;
;Creatore d'abbigliamento;;;;
;Creatore di giardini;;;;
;Creatore di gioielli e oggetti;;;;
;Creatore di tessuti;;;;
;Creatore di tessuti d'arredamento;;;;
;Creatore di utensili (gioielleria);;;;
;Creatore nella comunicazione visiva;;;;
;Creatore su ceramica;;;;
;Creatore teatrale;;;;
;Creatore, designer;;;;
;Creatore, realizzatore, designer;;;;
;Credit Analyst;;;;
;Credit Analyst;;;;
;Credit Analyst;;;;
;Credit Manager;;;;
;Credit Manager;;;;
;Credit Officer;;;;
;Credit officer;;;;
;Credit officer;;;;
;Credit Risk Analyst;;;;
;Credit Risk Analyst;;;;
;Credit Risk Analyst;;;;
;Crédit-bailleur (leaser);;;;
;Crêpehersteller;;;;
;Crêpier;;;;
;Crépisseur;;;;
;Crépisseur de façades;;;;
;Criminalista;;;;
;Criminaliste;;;;
;Criminologo;;;;
;Criminologue;;;;
;Cristallografo;;;;
;Cristallographe;;;;
;Critico;;;;
;Critique;;;;
;Crittologo;;;;
;Crocerossino;;;;
;Cromatore;;;;
;Cromista (impressore);;;;
;Cromoterapeuta;;;;
;Cronista;;;;
;Cronometrista;;;;
;Cronometrista sportivo;;;;
;Croque-mort;;;;
;Croupier;;;;
;Croupier;;;;
;Croupier;;;;
;Croupier, capotavolo (Pit boss);;;;
;Croupier, chef de table (Pit boss);;;;
;Cryptologue;;;;
;Cucitore;;;;
;Cucitore (legatoria);;;;
;Cucitore a filo (legatoria);;;;
;Cucitore a macchina;;;;
;Cucitore al filo di ferro (legatoria);;;;
;Cucitore di pellicce;;;;
;Cucitore di tappezzerie;;;;
;Cucitore di tessili;;;;
;Cucitore d'interni;;;;
;Cucitore industriale;;;;
;Cucitore per arredamenti interni;;;;
;Cucitore raccomodatore;;;;
;Cueilleur;;;;
;Cueilleur de baies;;;;
;Cueilleur de fruits;;;;
;Cueilleur de plantes médicinales;;;;
;Cuiseur de briques;;;;
;Cuiseur de céramique;;;;
;Cuiseur de conserverie;;;;
;Cuiseur de porcelaine;;;;
;Cuiseur de tuiles;;;;
;Cuiseur, textiles;;;;
;Cuiseur-conserveur de poissons;;;;
;Cuisinier;;;;
;Cuisinier (chef de partie);;;;
;Cuisinier (demi-chef de partie);;;;
;Cuisinier (diète);;;;
;Cuisinier (jeune cuisinier);;;;
;Cuisinier (pâtissier);;;;
;Cuisinier (saucier, entremétier);;;;
;Cuisinier de fast food;;;;
;Cuisinier de kebab;;;;
;Cuisinier d'hôpital;;;;
;Cuisinier d'hôpital et d'établissement médicalisé;;;;
;Cuisinier d'hôpital, de home et en restauration collective;;;;
;Cuisinier en diététique;;;;
;Cuisinier en hôtellerie et restauration;;;;
;Cuisinier unique;;;;
;Cuivreur;;;;
;Cultivateur de baies;;;;
;Cultivateur de fruits;;;;
;Cuocitore (conservieri);;;;
;Cuoco;;;;
;Cuoco (chef de partie);;;;
;Cuoco (demi-chef de partie);;;;
;Cuoco (dieta);;;;
;Cuoco (giovane cuoco);;;;
;Cuoco (pasticciere);;;;
;Cuoco (salsiere, entremetier);;;;
;Cuoco di fast food;;;;
;Cuoco d'ospedale e d'istituto sanitario;;;;
;Cuoco d'ospedale, d'istituto sanitario e di ristorazione collettiva;;;;
;Cuoco in dietetica;;;;
;Cuoco in gastronomia;;;;
;Cuoco per la dieta;;;;
;Cuoco unico;;;;
;Curateur de musée;;;;
;Curateur professionnel;;;;
;Curatore museale;;;;
;Curatore professionale;;;;
;Curé;;;;
;Curlingtrainer;;;;
;Curvatore del legno;;;;
;Custode;;;;
;Custode di animali;;;;
;Custode di arsenale;;;;
;Custode di cavalli;;;;
;Custode di cavalli (assistenza sanitaria);;;;
;Custode di cimitero;;;;
;Custode di discarica;;;;
;Custode di giardino zoologico;;;;
;Custode di immobili;;;;
;Custode di serraglio;;;;
;Custode di voliera;;;;
;Customer Support Engineer;;;;
;Customer Support Engineer;;;;
;Customer Support Engineer;;;;
;Cutterassistent;;;;
;Cyber Security Specialist;;;;
;Cyber Security Specialist;;;;
;Cyber Security Specialist;;;;
;Cybernéticien;;;;
;Cymbaliste;;;;
;Cytologiste;;;;
;Cyto-technicien;;;;
;Dachdecker;;;;
;Dachdeckergehilfe;;;;
;Dachdeckermeister;;;;
;Dachdeckerpolier;;;;
;Dachdeckerpraktiker;;;;
;Dachdecker-Spengler;;;;
;Dachdeckervorarbeiter;;;;
;Dachisoleur;;;;
;Dachsanierer;;;;
;Dachschindelmacher;;;;
;Dactylograph;;;;
;Dactylographe;;;;
;Dalleur en mosaïque;;;;
;Damen- und Herrencoiffeur;;;;
;Damencoiffeur;;;;
;Damenschneider;;;;
;Dameur;;;;
;Dammwärter;;;;
;Dampfbüglereiangestellter;;;;
;Dämpfer, Textilien;;;;
;Dampfmaschinist;;;;
;Dampfschiffheizer;;;;
;Dampfschiffmaschinist;;;;
;Dampfturbinenwärter;;;;
;Dan-Dao Therapeut;;;;
;Danseur;;;;
;Danseur de ballet;;;;
;Danseur interprète;;;;
;Danseur interprète, danse classique;;;;
;Danseur interprète, danse contemporaine;;;;
;Danzatore;;;;
;Danzatore, danza classica;;;;
;Danzatore, danza contemporanea;;;;
;Danzatore-ballerino;;;;
;Darlehensvermittler;;;;
;Darmarbeiter;;;;
;Data Analyst;;;;
;Data Analyst;;;;
;Data Analyst;;;;
;Data Analyst ICT;;;;
;Data Analyst ICT;;;;
;Data Analyst ICT;;;;
;Data manager;;;;
;Data Miner;;;;
;Data Miner;;;;
;Data Miner;;;;
;Data Quality Manager;;;;
;Data Quality Manager;;;;
;Data Scientist;;;;
;Data Scientist;;;;
;Data Scientist;;;;
;Data Scientist ICT;;;;
;Data Scientist ICT;;;;
;Data Scientist ICT;;;;
;Data Warehouse Architekt;;;;
;Data Warehouse Engineer;;;;
;Data Warehouse Engineer;;;;
;Data Warehouse Engineer;;;;
;Database Administrator;;;;
;Database Administrator;;;;
;Database Administrator;;;;
;Database Engineer;;;;
;Database Engineer;;;;
;Database Engineer;;;;
;Database Manager;;;;
;Datamanager;;;;
;Datamanager;;;;
;Datatipista;;;;
;Datatypist;;;;
;Datenadministrator;;;;
;Datenanalyst;;;;
;Datenbank Manager;;;;
;Datenbank Manager;;;;
;Datenbank Manager;;;;
;Datenbank-Administrator;;;;
;Datenbank-Architekt;;;;
;Datenbankentwickler;;;;
;Datenbankspezialist;;;;
;Datenbankverantwortlicher;;;;
;Datenbankverwalter;;;;
;Datenkommunikationspezialist ICT;;;;
;Datenreplikationsspezialist;;;;
;Datenschutzbeauftragter;;;;
;Datenschutzfachmann;;;;
;Datenverarbeiter;;;;
;Datore di luci;;;;
;Dattilografo;;;;
;Débiteur de viande;;;;
;Debitoren/Kreditoren-Buchhalter;;;;
;Debitorenbuchhalter;;;;
;Débouilleur, textiles;;;;
;Decano;;;;
;Decano d'università;;;;
;Decapatore di metalli;;;;
;Décapeur de métal;;;;
;Deckelmacher;;;;
;Deckenmonteur;;;;
;Deckenverkleider;;;;
;Déclarant;;;;
;Déclarant en douane;;;;
;Décoffreur;;;;
;Decolletagearbeiter;;;;
;Decolleteur;;;;
;Décolleteur;;;;
;Décolleteur;;;;
;Décolleteur al tornio automatico;;;;
;Decolleteur-Mechaniker;;;;
;Décorateur;;;;
;Décorateur de porcelaine;;;;
;Décorateur de théâtre;;;;
;Décorateur de vitrines;;;;
;Décorateur d'exposition;;;;
;Décorateur d'intérieur;;;;
;Décorateur d'intérieurs, montage;;;;
;Décorateur d'intérieurs, papiers-peints;;;;
;Décorateur d'intérieurs, rembourrage;;;;
;Décorateur d'intérieurs, revêtement de sols;;;;
;Décorateur d'intérieurs, rideaux;;;;
;Décorateur mural;;;;
;Décorateur spécialisé en agencement de cuisine;;;;
;Décorateur sur céramique;;;;
;Décorateur sur verre;;;;
;Décorateur-étalagiste;;;;
;Decoratore;;;;
;Decoratore 3D;;;;
;Decoratore ceramista;;;;
;Decoratore d'arredamenti;;;;
;Decoratore d'esposizione;;;;
;Decoratore di ceramica;;;;
;Decoratore di porcellana;;;;
;Decoratore di vetrine;;;;
;Decoratore d'interni;;;;
;Decoratore d'interni, imbottitura;;;;
;Decoratore d'interni, montaggio;;;;
;Decoratore d'interni, rivestimenti di pavimenti;;;;
;Decoratore d'interni, tappezzeria;;;;
;Decoratore d'interni, tende;;;;
;Decoratore murale;;;;
;Decoratore su vetro;;;;
;Decoratore tessile;;;;
;Decoratore-espositore;;;;
;Découpeur de carton;;;;
;Découpeur de cuir;;;;
;Découpeur de métaux;;;;
;Découpeur de papier;;;;
;Découpeur, cisailleur;;;;
;Décrasseur de fer;;;;
;Défectologue;;;;
;Defektologe;;;;
;Definitivista (lay-out man);;;;
;Dégorgeur (métal);;;;
;Dégraisseur de métaux;;;;
;Degustant;;;;
;Dégustateur;;;;
;Dégustateur de café;;;;
;Dégustateur de liqueur;;;;
;Dégustateur de thé;;;;
;Dégustateur de vin;;;;
;Degustatore;;;;
;Degustatore di caffè;;;;
;Degustatore di liquori;;;;
;Degustatore di tè;;;;
;Degustatore di vini;;;;
;Degustierer;;;;
;Dekan;;;;
;Deklarant;;;;
;Dekorateur;;;;
;Dekorateurgehilfe;;;;
;Dekorationsberater;;;;
;Dekorationschef;;;;
;Dekorationsgestalter;;;;
;Dekorationsmaler;;;;
;Dekorationsnäher;;;;
;Dekormaler (Keramik, Glas);;;;
;Delegato all'integrazione;;;;
;Delegato CICR;;;;
;Delegato commerciale;;;;
;Delegato d'assicurazioni;;;;
;Delegato del consiglio amministrativo;;;;
;Delegato di polizia cantonale;;;;
;Delegato medico;;;;
;Delegierter des Verwaltungsrates;;;;
;Délégué à l'égalité des chances;;;;
;Délégué CICR;;;;
;Délégué commercial;;;;
;Délégué d'assurance;;;;
;Délégué de la police cantonale;;;;
;Délégué du conseil d'administration;;;;
;Délégué médical;;;;
;Délégué médical, représentant;;;;
;Délégué pharmaceutique;;;;
;Demand Manager;;;;
;Demand Manager;;;;
;Démarcheur;;;;
;Déménageur;;;;
;Demeter-Landwirt;;;;
;Demi-chef de rang;;;;
;Demi-chef de rang;;;;
;Demi-chef de rang;;;;
;Demografo;;;;
;Demograph;;;;
;Démographe;;;;
;Demolitore (edilizia);;;;
;Demolitore (ricupero e smaltimento materiali);;;;
;Demonstrant;;;;
;Démonstrateur;;;;
;Démonstrateur publicitaire;;;;
;Demonstrator;;;;
;Dendrochronologe;;;;
;Dendrochronologue;;;;
;Dendrocronologo;;;;
;Denkmalpfleger;;;;
;Dentalassistent;;;;
;Dentalhygieniker;;;;
;Dentalkeramiker;;;;
;Dentaltechniker;;;;
;Dentista;;;;
;Dentista assistente;;;;
;Dentista scolastico;;;;
;Dentista veterinario;;;;
;Dentiste;;;;
;Dentiste assistant;;;;
;Dentiste scolaire;;;;
;Dentiste vétérinaire;;;;
;Dépanneur (véhicules);;;;
;Dépanneur de machines;;;;
;Dépanneur radio-tv;;;;
;Dépanneur-technicien;;;;
;Departementssekretär;;;;
;Dépeceur-découpeur de viande;;;;
;Depilatore di cuoio;;;;
;Dépolisseur sur verre;;;;
;Deponiearbeiter;;;;
;Deponiemeister;;;;
;Deponiewart;;;;
;Depotaufseher;;;;
;Depotchef (Bahn);;;;
;Depothalter;;;;
;Depotleiter;;;;
;Derivatespezialist (Bankwesen);;;;
;Derma-Pigmentologe;;;;
;Derma-pigmentologo;;;;
;Dermapigmentologue;;;;
;Dermatologe;;;;
;Dermatologieassistent;;;;
;Dermatologo;;;;
;Dermatologue;;;;
;Design Engineer;;;;
;Design Engineer;;;;
;Design Engineer;;;;
;Designer;;;;
;Designer;;;;
;Designer;;;;
;Designer (settore artistico-figurativo);;;;
;Designer arti figurative;;;;
;Designer de bijoux;;;;
;Designer de lumière;;;;
;Designer de mode;;;;
;Designer de montres;;;;
;Designer del colore;;;;
;Designer dell'interazione;;;;
;Designer d'emballage et de conditionnement;;;;
;Designer design di prodotto;;;;
;Designer di gioielli;;;;
;Designer di moda;;;;
;Designer d'imballaggio;;;;
;Designer d'interaction;;;;
;Designer d'orologi;;;;
;Designer en architecture d'intérieur;;;;
;Designer en arts visuels;;;;
;Designer en communication visuelle;;;;
;Designer en design de produit;;;;
;Designer en design industriel et de produits;;;;
;Designer en multimédia;;;;
;Designer en textiles;;;;
;Designer grafico;;;;
;Designer graphique;;;;
;Designer in architettura d'interni;;;;
;Designer in comunicazione visiva;;;;
;Designer industriale e di prodotti;;;;
;Designer industriel;;;;
;Designer industriel en architecture d'intérieur;;;;
;Designer luci;;;;
;Designer multimediale;;;;
;Designer, creatore;;;;
;Designer, Innenarchitektur;;;;
;Designer, Produkt- und Industriedesign;;;;
;Designer, Visuelle Kommunikation;;;;
;Desinfektionsberater;;;;
;Désinfestateur;;;;
;Desktop Editor;;;;
;Desktop Editor;;;;
;Desktop Editor;;;;
;Desktop Officer;;;;
;Desktop Officer;;;;
;Desktop Officer;;;;
;Desktop Operator;;;;
;Desktop Operator;;;;
;Desktop Operator;;;;
;Desktop Publisher;;;;
;Desktop Publisher;;;;
;Desktop Publisher;;;;
;Desktopsetzer;;;;
;Désosseur;;;;
;Dessinateur;;;;
;Dessinateur artistique;;;;
;Dessinateur d'architecture;;;;
;Dessinateur de bandes dessinées;;;;
;Dessinateur de constructions métalliques;;;;
;Dessinateur de dessins animés;;;;
;Dessinateur de lustrerie;;;;
;Dessinateur de machines;;;;
;Dessinateur de machines, appareils électroniques;;;;
;Dessinateur de machines, installations électriques;;;;
;Dessinateur de machines, machines, appareils;;;;
;Dessinateur de machines, petite mécanique de précision;;;;
;Dessinateur de patrons de couture;;;;
;Dessinateur d'installations de ventilation;;;;
;Dessinateur d'installations électriques;;;;
;Dessinateur du bâtiment et du génie civil;;;;
;Dessinateur du cadastre;;;;
;Dessinateur en aménagement du territoire;;;;
;Dessinateur en appareils;;;;
;Dessinateur en archéologie;;;;
;Dessinateur en bâtiment;;;;
;Dessinateur en carrosserie;;;;
;Dessinateur en chauffage;;;;
;Dessinateur en construction microtechnique;;;;
;Dessinateur en constructions de béton armé;;;;
;Dessinateur en génie civil;;;;
;Dessinateur en génie électrique;;;;
;Dessinateur en géotechnique;;;;
;Dessinateur en horlogerie;;;;
;Dessinateur en installations frigorifiques;;;;
;Dessinateur en installations sanitaires;;;;
;Dessinateur publicitaire;;;;
;Dessinateur technique;;;;
;Dessinateur, architecture;;;;
;Dessinateur, architecture d'intérieur;;;;
;Dessinateur, architecture paysagère;;;;
;Dessinateur, génie civil;;;;
;Dessinateur, planification du territoire;;;;
;Dessinateur-constructeur;;;;
;Dessinateur-constructeur en génie civil;;;;
;Dessinateur-constructeur industriel;;;;
;Dessinateur-constructeur sur métal;;;;
;Dessinateur-frigoriste;;;;
;Dessinateur-géomètre;;;;
;Dessinateur-graphiste;;;;
;Dessinateur-illustrateur;;;;
;Dessinateur-paysagiste;;;;
;Dessinateur-projeteur d'appareils;;;;
;Dessinateur-urbaniste;;;;
;Destillateur;;;;
;Destilliermeister;;;;
;Destructeur de parasites;;;;
;Detailhandelsangestellter;;;;
;Detailhandelsangestellter, Kiosk;;;;
;Detailhandelsassistent;;;;
;Detailhandelsassistent, Kiosk;;;;
;Detailhandelsfachmann;;;;
;Detailhandelskaufmann;;;;
;Detailhandelsmanager;;;;
;Detailhandelsökonom;;;;
;Detailhandelsspezialist;;;;
;Detailhandelsverkäufer;;;;
;Detailhändler;;;;
;Détaillant;;;;
;Détective;;;;
;Detective di polizia;;;;
;Détective privé;;;;
;Détective, policier;;;;
;Detektiv;;;;
;Detektiv-Wachtmeister;;;;
;Dettagliante;;;;
;Deutschlehrer;;;;
;Développeur (film/vidéo);;;;
;Développeur d'applications;;;;
;Développeur de banque de données;;;;
;Développeur de laboratoire photo;;;;
;Développeur de software;;;;
;Développeur en électronique;;;;
;Développeur immobilier;;;;
;Développeur Internet;;;;
;Développeur multimédia;;;;
;Développeur Web;;;;
;Dévideur (industrie textile);;;;
;Devin;;;;
;Devisenbroker;;;;
;Devisenhändler;;;;
;Devisenmakler;;;;
;Devisensachbearbeiter;;;;
;Diabetesberater;;;;
;Diabetikberater;;;;
;Diacono;;;;
;Diacono sociale;;;;
;Diacre;;;;
;Diacre protestant;;;;
;Diacre social;;;;
;Diagnosetechniker Baumaschinen;;;;
;Diagnosetechniker Landmaschinen;;;;
;Diagnosetechniker Motorgeräte;;;;
;Diagnosta di laboratorio biomedico;;;;
;Diagnosticien;;;;
;Diagnosticien d'automobiles;;;;
;Diagnosticien de laboratoire biomédical;;;;
;Diagnostico;;;;
;Diagnostiker;;;;
;Diakon;;;;
;Diakonischer Mitarbeiter;;;;
;Dialectologue;;;;
;Dialektologe;;;;
;Dialettologo;;;;
;Dialysepfleger;;;;
;Diamantaio;;;;
;Diamantaire;;;;
;Diamantenschleifer;;;;
;Diamanteur;;;;
;Diät- und Ernährungsberater;;;;
;Diätassistent;;;;
;Diätberater;;;;
;Diätkoch;;;;
;Dichiarante;;;;
;Dichiarante doganale;;;;
;Dichter;;;;
;Didaktiklehrer;;;;
;Didaktikleiter;;;;
;Dienstchef (öffentlicher Dienst, Direktionsmitglied);;;;
;Diététicien;;;;
;Diététicien assistant;;;;
;Dietista;;;;
;Digital Artist;;;;
;Digitaldrucker;;;;
;Digital-Ingenieur;;;;
;Digitaliseur;;;;
;Digitalisierer;;;;
;Digitalizzatore;;;;
;Dimostratore;;;;
;Dimostratore di prodotti cosmetici;;;;
;Dimostratore propagandista;;;;
;Dimostratore pubblicitario;;;;
;Dinandier;;;;
;Dinandier en bijouterie;;;;
;Dipl. en sciences oecuméniques;;;;
;Dipl. ES en direction de l'entreprise et du personnel;;;;
;Dipl. ES en Leadership global;;;;
;Dipl. ES in Leadership et Management;;;;
;Dipl. in Leadership und Management HF;;;;
;Dipl. in ökumenischen Wissenschaften;;;;
;Dipl. in scienze ecumeniche;;;;
;Dipl. in Unternehmens- und Mitarbeiterführung HF;;;;
;Dipl. NDS ETHZ in Entwicklungszusammenarbeit;;;;
;Dipl. SSS in Leadership complessivo;;;;
;Dipl. SSS in Leadership e Management;;;;
;Dipl. Theologe;;;;
;Dipl. Umfassende Leadership HF;;;;
;Diplom in Entwicklungszusammenarbeit;;;;
;Diplom in Politikwissenschaften;;;;
;Diplom in Psychologie;;;;
;Diplom in Unternehmensführung HF;;;;
;Diplom Informatik-Ingenieur;;;;
;Diplom Volkswirtschaft;;;;
;Diploma d'assicurazione;;;;
;Diploma di esercente;;;;
;Diploma di ingegnere in informatica;;;;
;Diploma di segretario;;;;
;Diploma di turismo;;;;
;Diploma federale d'assicurazione;;;;
;Diploma in economia;;;;
;Diploma in informatica;;;;
;Diploma in psicologia;;;;
;Diploma in scienze politiche;;;;
;Diploma in sviluppo e cooperazione internazionale;;;;
;Diploma in teologia;;;;
;Diploma postgrade in sviluppo e cooperazione internazionale SPFZ;;;;
;Diploma SSS in gestione d'impresa;;;;
;Diplomat;;;;
;Diplomate;;;;
;Diplomatico;;;;
;Diplomato federale in editoria commerciale;;;;
;Diplomato in corrispondenza e amministrazione commerciale;;;;
;Diplomato in economia aziendale nel settore dell'automobile;;;;
;Diplomato in gestione aziendale nel ramo dell'automobile;;;;
;Diplomato in gestione commerciale SSGC;;;;
;Diplomato in materia bancaria;;;;
;Diplomato SSS in gestione d'impresa e del personale;;;;
;Diplômé commercial en correspondance et administration;;;;
;Diplôme de restaurateur;;;;
;Diplôme de tourisme;;;;
;Diplôme d'ingénieur informaticien;;;;
;Diplôme en assurances;;;;
;Diplôme en économie;;;;
;Diplôme en études du développement;;;;
;Diplômé en gestion commerciale ESGC;;;;
;Diplôme en informatique;;;;
;Diplôme en psychologie;;;;
;Diplômé en sciences de l'administration;;;;
;Diplômé en sciences de l'information;;;;
;Diplômé en sciences infirmières;;;;
;Diplôme en sciences politiques;;;;
;Diplôme en théologie;;;;
;Diplôme fédéral en assurances;;;;
;Diplômé HES en travail social;;;;
;Diplôme postgrade en études du développement EPFZ;;;;
;Diplomierter in Sozialer Arbeit FH;;;;
;Directeur (administration publique);;;;
;Directeur (industrie pharmaceutique);;;;
;Directeur administratif (administration publique);;;;
;Directeur artistique, arts de la scène;;;;
;Directeur commercial;;;;
;Directeur comptable (économie privée);;;;
;Directeur d'académie;;;;
;Directeur d'achat;;;;
;Directeur d'administration (économie privée);;;;
;Directeur d'arrondissement;;;;
;Directeur d'association;;;;
;Directeur de banque;;;;
;Directeur de banque (administration publique);;;;
;Directeur de bar;;;;
;Directeur de boutique;;;;
;Directeur de brasserie;;;;
;Directeur de bureau de voyages;;;;
;Directeur de caisse de prévoyance sociale;;;;
;Directeur de cave coopérative;;;;
;Directeur de centre de transfusion;;;;
;Directeur de centre équestre;;;;
;Directeur de centre pour handicapés;;;;
;Directeur de centre sportif;;;;
;Directeur de chancellerie;;;;
;Directeur de choeur;;;;
;Directeur de cinéma;;;;
;Directeur de cirque;;;;
;Directeur de construction;;;;
;Directeur de crèche;;;;
;Directeur de fabrique;;;;
;Directeur de fanfare;;;;
;Directeur de fiduciaire;;;;
;Directeur de fondation;;;;
;Directeur de foyer;;;;
;Directeur de garage;;;;
;Directeur de garderie;;;;
;Directeur de grand magasin;;;;
;Directeur de home pour personnes âgées;;;;
;Directeur de jardin d'enfant;;;;
;Directeur de l’exploitation informatique;;;;
;Directeur de la coordination et du développement;;;;
;Directeur de la création;;;;
;Directeur de la photographie (prise de vue);;;;
;Directeur de la planification informatique;;;;
;Directeur de la recherche;;;;
;Directeur de la recherche et du développement;;;;
;Directeur de laboratoire;;;;
;Directeur de l'arsenal fédéral;;;;
;Directeur de maison d'édition;;;;
;Directeur de manufacture;;;;
;Directeur de marketing;;;;
;Directeur de menuiserie;;;;
;Directeur de musée;;;;
;Directeur de pension pour animaux;;;;
;Directeur de police, service des constructions;;;;
;Directeur de prison;;;;
;Directeur de production;;;;
;Directeur de programmes;;;;
;Directeur de publication;;;;
;Directeur de rédaction;;;;
;Directeur de restaurant;;;;
;Directeur de sauna;;;;
;Directeur de scène;;;;
;Directeur de scierie;;;;
;Directeur de société financière;;;;
;Directeur de station de cure;;;;
;Directeur de studio de gymnastique;;;;
;Directeur de théâtre (administration publique);;;;
;Directeur de théâtre (économie privée);;;;
;Directeur de vente;;;;
;Directeur de zoo;;;;
;Directeur d'école;;;;
;Directeur d'école de musique;;;;
;Directeur d'école d'une discipline sportive;;;;
;Directeur d'école primaire;;;;
;Directeur d'école professionnelle;;;;
;Directeur d'école secondaire;;;;
;Directeur d'école secondaire supérieure;;;;
;Directeur d'entreprise de nettoyage;;;;
;Directeur des archives;;;;
;Directeur des chemins de fer;;;;
;Directeur des douanes;;;;
;Directeur des écoles;;;;
;Directeur des études académiques;;;;
;Directeur des finances;;;;
;Directeur des finances (administration publique);;;;
;Directeur des postes;;;;
;Directeur des programmes de télévision;;;;
;Directeur des ressources humaines;;;;
;Directeur des services d'aide et de soins à domicile (spitex);;;;
;Directeur des systèmes d’information (DSI);;;;
;Directeur des télécommunications;;;;
;Directeur des transports publics (administration publique);;;;
;Directeur des travaux;;;;
;Directeur d'établissement médico-social;;;;
;Directeur d'expédition;;;;
;Directeur d'exploitation;;;;
;Directeur d'exploitation artisanale;;;;
;Directeur d'exploitation commerciale;;;;
;Directeur d'exploitation industrielle;;;;
;Directeur d'exploitation publique;;;;
;Directeur d'exploitation, autre;;;;
;Directeur d'exposition;;;;
;Directeur d'hôpital (administration publique);;;;
;Directeur d'hôpital (économie privée);;;;
;Directeur d'horlogerie;;;;
;Directeur d'hôtel;;;;
;Directeur didactique;;;;
;Directeur d'imprimerie;;;;
;Directeur d'institut public;;;;
;Directeur d'institution de l'enfance;;;;
;Directeur d'institution sociale;;;;
;Directeur d'institution sociale et médico-sociale;;;;
;Directeur d'office fédéral;;;;
;Directeur d'office sanitaire;;;;
;Directeur d'office touristique et de cure (économie privée);;;;
;Directeur d'opéra (économie privée);;;;
;Directeur d'orchestre;;;;
;Directeur d'organisation humanitaire;;;;
;Directeur d'organisation internationale;;;;
;Directeur du développement informatique;;;;
;Directeur du management de projet ICT;;;;
;Directeur du personnel;;;;
;Directeur du service social;;;;
;Directeur d'un manège;;;;
;Directeur d'une caisse-maladie;;;;
;Directeur d'une communauté d'habitation;;;;
;Directeur d'une station touristique et thermale (administration publique);;;;
;Directeur en communications;;;;
;Directeur en informatique;;;;
;Directeur général;;;;
;Directeur général (théâtre/radio/TV);;;;
;Directeur général de banque (économie privée);;;;
;Directeur général, président du conseil d'administration;;;;
;Directeur industriel;;;;
;Directeur juridique;;;;
;Directeur médical;;;;
;Directeur opérationnel;;;;
;Directeur régional;;;;
;Directeur remplaçant (administration publique);;;;
;Directeur scientifique (économie privée);;;;
;Directeur sportif;;;;
;Directeur technique;;;;
;Directeur touristique (administration publique);;;;
;Directeur touristique (économie privée);;;;
;Directeur vétérinaire;;;;
;Directeur, industrie alimentaire;;;;
;Directeur, industrie chimique;;;;
;Directeur, industrie du papier;;;;
;Directeur, industrie du tabac;;;;
;Directeur, industrie mécanique;;;;
;Directeur, industrie métallurgique;;;;
;Directeur, industrie textile;;;;
;Directeur-adjoint;;;;
;Direktionsadjunkt;;;;
;Direktionsassistent;;;;
;Direktionsleiter;;;;
;Direktionspräsident;;;;
;Direktionssekretär;;;;
;Direktmarketingassistent;;;;
;Direktmarketingberater;;;;
;Direktmarketing-Planer;;;;
;Direktor (öffentlicher Dienst);;;;
;Direktor Chemische Industrie;;;;
;Direktor des Gesundheitswesens;;;;
;Direktor einer Finanzgesellschaft;;;;
;Direktor einer humanitären Organisation;;;;
;Direktor einer internationalen Organisation;;;;
;Direktor einer sozialmedizinischen Anstalt;;;;
;Direktor Industrie;;;;
;Direktor Informatik;;;;
;Direktor Labor;;;;
;Direktor Marketing;;;;
;Direktor Maschinenindustrie;;;;
;Direktor Metallindustrie;;;;
;Direktor Nahrungsmittelindustrie;;;;
;Direktor Papierindustrie;;;;
;Direktor Reinigungsunternehmen;;;;
;Direktor Reitsportzentrum;;;;
;Direktor Sozialamt;;;;
;Direktor Tabakindustrie;;;;
;Direktor Textilindustrie;;;;
;Direktor Uhrenfabrik;;;;
;Direttore (amministrazione pubblica);;;;
;Direttore aggiunto;;;;
;Direttore al coordinamento e allo sviluppo;;;;
;Direttore amministrativo (amministrazione pubblica);;;;
;Direttore artistico;;;;
;Direttore artistico, arte teatrale;;;;
;Direttore aziendale;;;;
