;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;givenname;familyname;sex;birth;death;placebirth;placedeath;image
32068;10057770;Höhen;;;;;;;;;;
32069;10057771;Lettenhof;;;;;;;;;;
32070;10057772;Linden;http://www.wikidata.org/entity/Q781362;Jean Linden;Jean;Linden;männlich;1817-02-03T00:00:00Z;1898-01-12T00:00:00Z;http://www.wikidata.org/entity/Q1842;http://www.wikidata.org/entity/Q9005;
32071;10057773;Meisen;http://www.wikidata.org/entity/Q11512257;Q11512257;;;männlich;1059-01-01T00:00:00Z;1123-10-21T00:00:00Z;;;
32072;10057774;Nelken;http://www.wikidata.org/entity/Q2817300;Margarita Nelken;Teresa;Nelken;weiblich;1894-07-05T00:00:00Z;1968-03-08T00:00:00Z;http://www.wikidata.org/entity/Q2807;http://www.wikidata.org/entity/Q96;
32073;10057775;Rüttacker;;;;;;;;;;
32074;10057776;Sonnen;http://www.wikidata.org/entity/Q7742;Ludwig XIV.;Louis;;männlich;1638-09-05T00:00:00Z;1715-09-01T00:00:00Z;http://www.wikidata.org/entity/Q1520841;http://www.wikidata.org/entity/Q2946;
32075;10057778;Tal;http://www.wikidata.org/entity/Q453841;Tal;Tal;;weiblich;1989-12-12T00:00:00Z;;http://www.wikidata.org/entity/Q2475182;;
32076;10057779;Wiesen;http://www.wikidata.org/entity/Q95124923;Wiesen;;;;;;;;
32077;10057780;Baumgarten;http://www.wikidata.org/entity/Q62021621;Norbert Baumgarten;Norbert;;männlich;1973-01-01T00:00:00Z;;http://www.wikidata.org/entity/Q14835;;
32078;10057781;Eichen;http://www.wikidata.org/entity/Q77204;Joseph von Eichendorff;Joseph;Eichendorff;männlich;1788-03-10T00:00:00Z;1857-11-26T00:00:00Z;http://www.wikidata.org/entity/Q6640660;http://www.wikidata.org/entity/Q815721;
32079;10057800;Guger;http://www.wikidata.org/entity/Q1098059;Claudio Gugerotti;Claudio;Gugerotti;männlich;1955-10-07T00:00:00Z;;http://www.wikidata.org/entity/Q2028;;
32080;10057804;Melchnau;;;;;;;;;;
32081;10057808;Dorf;http://www.wikidata.org/entity/Q5389800;Erling Dorf;Erling;Dorf;männlich;1905-07-19T00:00:00Z;1984-04-16T00:00:00Z;http://www.wikidata.org/entity/Q18355533;http://www.wikidata.org/entity/Q138518;
32082;10057809;Bahnhof;;;;;;;;;;
32083;10057811;Allmen;http://www.wikidata.org/entity/Q84428;Karl Allmenröder;Karl;;männlich;1896-05-03T00:00:00Z;1917-06-27T00:00:00Z;http://www.wikidata.org/entity/Q2942;http://www.wikidata.org/entity/Q2337062;
32084;10057812;Blumen;http://www.wikidata.org/entity/Q209050;Jan Brueghel der Ältere;Jan;Brueghel;männlich;1568-01-01T00:00:00Z;1625-01-13T00:00:00Z;http://www.wikidata.org/entity/Q239;http://www.wikidata.org/entity/Q12892;
32085;10057813;Brunnen;;;;;;;;;;
32086;10057814;Burger;http://www.wikidata.org/entity/Q7732;Ludwig XVI.;Louis;Borbone;männlich;1754-08-23T00:00:00Z;1793-01-21T00:00:00Z;http://www.wikidata.org/entity/Q2946;http://www.wikidata.org/entity/Q189503;
32087;10057815;Dennli;;;;;;;;;;
32088;10057816;Feld;http://www.wikidata.org/entity/Q47117115;J. Feld;;;;;;;;
32089;10057817;Garten;;;;;;;;;;
32090;10057818;Herzog;http://www.wikidata.org/entity/Q7723;Napoleon Franz Bonaparte;Napoléon;Bonaparte;männlich;1811-03-20T00:00:00Z;1832-07-22T00:00:00Z;http://www.wikidata.org/entity/Q90;http://www.wikidata.org/entity/Q1741;
