;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath
274;10000354;Buechstutz;;;;;;;
275;10000355;Chessibül;;;;;;;
276;10000356;Dachsleren;;;;;;;
277;10000357;Ebnet;;;;;;;
278;10000358;Eich;;;;;;;
279;10000359;Etzel;;;;;;;
280;10000360;Felsenburg;;;;;;;
281;10000361;Geimoos;;;;;;;
282;10000362;Harmonie;;;;;;;
283;10000363;Hüttenacher;;;;;;;
284;10000364;Freien;;;;;;;
285;10000365;Riet;;;;;;;
286;10000366;Isenacher;;;;;;;
287;10000367;Kreuz;;;;;;;
288;10000368;Kronen;;;;;;;
289;10000369;Schwändi;;;;;;;
290;10000370;Schönau;;;;;;;
291;10000371;Seeblick;;;;;;;
292;10000372;Sennhof;;;;;;;
293;10000373;Strandbad;;;;;;;
294;10000374;Turnhallen;;;;;;;
295;10000375;Tödi;;;;;;;
296;10000376;Werk;;;;;;;
297;10000377;West;;;;;;;
298;10000378;Wiesen;;;;;;;
299;10000379;Baumgarten;;;;;;;
300;10000380;Bergli;;;;;;;
301;10000381;Breiti;;;;;;;
302;10000382;Bäretswiler;;;;;;;
303;10000383;Weid;;;;;;;
304;10000385;Brunnen;;;;;;;
305;10000386;Böschacher;;;;;;;
306;10000387;Etzel;;;;;;;
307;10000388;Grüt;;;;;;;
308;10000389;Hasenacher;;;;;;;
309;10000390;Hofacher;;;;;;;
310;10000391;Haufland;;;;;;;
311;10000392;Zelgli;;;;;;;
312;10000393;Leigrueb;;;;;;;
313;10000394;Linden;;;;;;;
314;10000395;Pumert;;;;;;;
315;10000396;Rinderweid;;;;;;;
316;10000397;Schatzen;;;;;;;
317;10000398;Chrüzlen;;;;;;;
318;10000399;Wolfrichti;;;;;;;
319;10000400;Angel;;;;;;;
320;10000401;Baumgarten;;;;;;;
321;10000402;Böl;;;;;;;
322;10000403;Büelgass;;;;;;;
323;10000404;Chapf;;;;;;;
324;10000405;Feld;;;;;;;
325;10000406;Felsberg;;;;;;;
326;10000407;Halden;;;;;;;
327;10000408;Hasenbüel;;;;;;;
328;10000411;Grüenenhof;;;;;;;
329;10000412;Moos;;;;;;;
330;10000413;Müli;;;;;;;
331;10000414;Neuwis;;;;;;;
332;10000415;Post;;;;;;;
333;10000416;Saum;;;;;;;
334;10000417;Schlottenbüel;;;;;;;
335;10000418;Stocken;;;;;;;
336;10000419;Sunnehof;;;;;;;
337;10000420;Unterhofen;;;;;;;
338;10000421;Zwetschmet;;;;;;;
339;10000422;Fuchsrüti;;;;;;;
340;10000423;Gerbel;;;;;;;
341;10000424;Gstein;;;;;;;
342;10000425;Moosacher;;;;;;;
343;10000426;Rifacher;;;;;;;
344;10000427;Wiberg;;;;;;;
345;10000430;Bürglen;;;;;;;
346;10000432;Chalberweidli;;;;;;;
347;10000433;Dürntener Str;;;;;;;
348;10000434;Esslinger Str;;;;;;;
349;10000436;Hansenburg;;;;;;;
350;10000437;Hombrechtiker Str;;;;;;;
351;10000440;Wigarten;;;;;;;
352;10000441;Wisental;;;;;;;
353;10000442;Land;;;;;;;
354;10000443;Bühl;;;;;;;
355;10000444;Eggrüti;;;;;;;
356;10000445;Goldenberg;;;;;;;
357;10000446;Hinder Holzschlag;;;;;;;
358;10000447;Horn;http://www.wikidata.org/entity/Q40837934;Horn;männlich;1909-12-10T00:00:00Z;2005-09-15T00:00:00Z;http://www.wikidata.org/entity/Q3033047;http://www.wikidata.org/entity/Q203312
359;10000448;Horn;http://www.wikidata.org/entity/Q40837934;Horn;männlich;1909-12-10T00:00:00Z;2005-09-15T00:00:00Z;http://www.wikidata.org/entity/Q3033047;http://www.wikidata.org/entity/Q203312
360;10000450;Liebenfels;;;;;;;
361;10000451;Post;;;;;;;
362;10000452;Schirmensee;;;;;;;
363;10000453;Schlatterhalde;;;;;;;
364;10000455;Schwöster;;;;;;;
365;10000456;Zelgli;;;;;;;
366;10000457;Girhalden;;;;;;;
367;10000458;Pfäffiker;;;;;;;
368;10000459;Rümbeli;;;;;;;
369;10000460;Seewadel;;;;;;;
370;10000461;Seewadel;;;;;;;
371;10000462;Ausserdorf;;;;;;;
372;10000464;Ludetswiler;;;;;;;
373;10000466;Renn;;;;;;;
374;10000467;Berg;;;;;;;
375;10000469;Chnündler;;;;;;;
376;10000470;Ebni;;;;;;;
377;10000471;Geeren;;;;;;;
378;10000473;Gentenwis;;;;;;;
379;10000474;Bachtel;;;;;;;
380;10000475;Berg;;;;;;;
381;10000476;Boge;;;;;;;
382;10000477;Hundbüel;;;;;;;
383;10000478;Friedhof;;;;;;;
384;10000480;Fuchs;;;;;;;
385;10000481;Guldenen;;;;;;;
386;10000482;Haberweid;;;;;;;
387;10000483;Allmend;;;;;;;
388;10000484;Buechboden;;;;;;;
389;10000485;Chile;;;;;;;
390;10000486;Chräbsgass;;;;;;;
391;10000487;Gallenbüel;;;;;;;
392;10000489;Hodel;;;;;;;
393;10000491;Hübscheren;;;;;;;
394;10000492;Stümel;;;;;;;
395;10000493;Kafimüli;;;;;;;
396;10000494;Lätten;;;;;;;
397;10000495;Mättenacher;;;;;;;
398;10000497;Pilatus;;;;;;;
399;10000498;Schuelweid;;;;;;;
400;10000499;Schul;;;;;;;
401;10000501;Spitzen;;;;;;;
402;10000502;Unterdorf;;;;;;;
403;10000504;Brunnenstube;;;;;;;
404;10000505;Chnübrechi;;;;;;;
405;10000507;Scheller;;;;;;;
406;10000508;Müliberg;;;;;;;
407;10000509;Riedacker;;;;;;;
408;10000510;Sennweid;;;;;;;
409;10000511;Hofibach;;;;;;;
410;10000512;Hütten;;;;;;;
411;10000513;Isenberg;;;;;;;
412;10000514;Looacher;;;;;;;
413;10000515;Stampfenmatt;;;;;;;
414;10000516;Weid;;;;;;;
415;10000517;Zwilliker;;;;;;;
416;10000518;Obfelder;;;;;;;
417;10000519;Anken;;;;;;;
418;10000520;Bach;http://www.wikidata.org/entity/Q1861386;Bach;männlich;1882-11-09T00:00:00Z;1953-11-19T00:00:00Z;http://www.wikidata.org/entity/Q596028;http://www.wikidata.org/entity/Q214432
419;10000521;Berg;;;;;;;
420;10000522;Blitzgbach;;;;;;;
421;10000523;Breiten;;;;;;;
422;10000524;Brunnen;;;;;;;
423;10000525;Butzen;;;;;;;
424;10000526;Bären;;;;;;;
425;10000527;Chellen;;;;;;;
426;10000528;Dachlisser;;;;;;;
427;10000529;Damm;;;;;;;
428;10000530;Fabrik;;;;;;;
429;10000531;Flurweid;;;;;;;
430;10000532;Garten;;;;;;;
431;10000533;Grossholzer;;;;;;;
432;10000534;Hasenbühl;;;;;;;
433;10000535;Heimpel;;;;;;;
434;10000536;Höhen;;;;;;;
435;10000537;Feld;;;;;;;
436;10000538;Welschland;;;;;;;
437;10000539;Schwanden;;;;;;;
438;10000540;Kirchfeld;;;;;;;
439;10000541;Kirch;;;;;;;
440;10000542;Lichtmatt;;;;;;;
441;10000543;Luckenhölzli;;;;;;;
442;10000544;Melchior Hirzel;;;;;;;
443;10000546;Bahnhof;;;;;;;
444;10000547;Seewadel;;;;;;;
445;10000548;Obfelder;;;;;;;
446;10000549;Park;;;;;;;
447;10000550;Pfruendhof;;;;;;;
448;10000551;Post;;;;;;;
449;10000552;Rigi;;;;;;;
450;10000554;Steinacher;;;;;;;
451;10000555;Tannholz;;;;;;;
452;10000556;Tägerfeld;;;;;;;
453;10000557;Tägerstein;;;;;;;
454;10000558;Kirchfeld;;;;;;;
455;10000559;Wilgibel;;;;;;;
456;10000560;Wolhausen;;;;;;;
457;10000562;Güter;;;;;;;
458;10000563;Halden;;;;;;;
459;10000564;Kessler;;;;;;;
460;10000565;Kirch;;;;;;;
461;10000566;Klus;;;;;;;
462;10000567;Nelken;;;;;;;
463;10000568;Rütenen;;;;;;;
464;10000569;Steig;;;;;;;
465;10000570;Feld;;;;;;;
466;10000571;Havanna;;;;;;;
467;10000572;Hittnauer;;;;;;;
468;10000573;Rigiblick;;;;;;;
469;10000574;Kratten;;;;;;;
470;10000575;Kreuzacker;;;;;;;
