;STR_ESID;STN_LABEL_FINAL;wikiQLabel;wikiQ;sex;birth;death;placebirth;placedeath;image
1221;10022964;Montiver;;;;;;;;
1222;10022965;Union;http://www.wikidata.org/entity/Q53093431;Union;;;;;;
1223;10022966;Gruyere;;;;;;;;
1224;10022967;Cerisiers;;;;;;;;
1225;10022968;Charbonnieres;;;;;;;;
1226;10022969;Pralettes;;;;;;;;
1227;10022970;Centre;;;;;;;;
1228;10022971;Chevalier;http://www.wikidata.org/entity/Q16719796;Chevalier;masculin;1600-01-01T00:00:00Z;1700-01-01T00:00:00Z;;http://www.wikidata.org/entity/Q90;
1229;10022972;Confin;;;;;;;;
1230;10022973;Midi;;;;;;;;
1231;10022974;Verne;;;;;;;;
1232;10022975;Alouettes;;;;;;;;
1233;10022976;Fauvettes;;;;;;;;
1234;10022977;Ferme;;;;;;;;
1235;10022978;Avry;;;;;;;;
1236;10022979;Villars Glane;;;;;;;;
1237;10022980;Arney;;;;;;;;
1238;10022981;Eglise;;;;;;;;
1239;10022982;Forge;;;;;;;;
1240;10022983;Guerite;;;;;;;;
1241;10022984;Sabliere;;;;;;;;
1242;10022985;Scie;;;;;;;;
1243;10022986;Bugnon;;;;;;;;
1244;10022987;Riedera;;;;;;;;
1245;10022988;Vibernot;;;;;;;;
1246;10022989;Pierrettes;;;;;;;;
1247;10022990;Serte;;;;;;;;
1248;10022991;Bas Etang;;;;;;;;
1249;10022992;Carrida;;;;;;;;
1250;10022994;Clos Four;;;;;;;;
1251;10022995;Chenalla;;;;;;;;
1252;10022996;Charriere;;;;;;;;
1253;10022997;Carro;;;;;;;;
1254;10022998;Chene;;;;;;;;
1255;10022999;Rosset;http://www.wikidata.org/entity/Q104052830;Rosset;masculin;;;;;
1256;10023000;Tronchet;http://www.wikidata.org/entity/Q2455359;Tronchet;masculin;1958-09-29T00:00:00Z;;http://www.wikidata.org/entity/Q207145;;
1257;10023002;Plan;;;;;;;;
1258;10023003;Onnens;;;;;;;;
1259;10023004;Romont;;;;;;;;
1260;10023005;Daille;;;;;;;;
1261;10023006;Allys;;;;;;;;
1262;10023007;Mardy;;;;;;;;
1263;10023008;Mottey;;;;;;;;
1264;10023009;Pre Ponts;;;;;;;;
1265;10023010;Ponthaux;;;;;;;;
1266;10023011;Seedorf;;;;;;;;
1267;10023012;Peupliers;;;;;;;;
1268;10023025;Fin Derrey;;;;;;;;
1269;10023101;Eglise;;;;;;;;
1270;10023102;Grenilles;;;;;;;;
1271;10023103;Kaisa;http://www.wikidata.org/entity/Q1333868;Kaisa;masculin;1983-02-25T00:00:00Z;;http://www.wikidata.org/entity/Q64;;
1272;10023104;Rossens;;;;;;;;
1273;10023105;Rueyres;;;;;;;;
1274;10023106;Forge;;;;;;;;
1275;10023107;Poya;;;;;;;;
1276;10023108;Bugnon;;;;;;;;
1277;10023109;Mystere;;;;;;;;
1278;10023110;Z I  Riaux;;;;;;;;
1279;10023111;Verney;;;;;;;;
1280;10023112;Jean Bourgknecht;http://www.wikidata.org/entity/Q116107;Jean Bourgknecht;masculin;1902-09-16T00:00:00Z;1964-12-23T00:00:00Z;http://www.wikidata.org/entity/Q36378;http://www.wikidata.org/entity/Q36378;
1281;10023113;Jean Gambach;;;;;;;;
1282;10023114;Jean Montenach;;;;;;;;
1283;10023115;Vanils;;;;;;;;
1284;10023116;General Guisan;;;;;;;;
1285;10023117;Moleson;;;;;;;;
1286;10023118;Guillaume Ritter;http://www.wikidata.org/entity/Q1553913;Guillaume Ritter;masculin;1835-08-13T00:00:00Z;1912-09-16T00:00:00Z;http://www.wikidata.org/entity/Q69345;http://www.wikidata.org/entity/Q69345;
1287;10023119;Monsejour;;;;;;;;
1288;10023120;Marc;http://www.wikidata.org/entity/Q31966;Marc;masculin;http://www.wikidata.org/.well-known/genid/fd4fcb1d0667969115ecb0bd05541846;0068-04-23T00:00:00Z;http://www.wikidata.org/entity/Q23792;http://www.wikidata.org/entity/Q87;
